filename,width,height,class,xmin,ymin,xmax,ymax
BikesHelmets243_png_jpg.rf.86534d9771d9e9c0f52be85fc7ef0162.jpg,416,416,With Helmet,60,0,132,207
BikesHelmets243_png_jpg.rf.86534d9771d9e9c0f52be85fc7ef0162.jpg,416,416,With Helmet,26,311,69,357
BikesHelmets243_png_jpg.rf.86534d9771d9e9c0f52be85fc7ef0162.jpg,416,416,With Helmet,0,265,34,313
BikesHelmets243_png_jpg.rf.86534d9771d9e9c0f52be85fc7ef0162.jpg,416,416,With Helmet,143,208,394,272
BikesHelmets706_png_jpg.rf.861350cf915ea1c953b1b29c41d6a201.jpg,416,416,With Helmet,294,128,314,154
BikesHelmets706_png_jpg.rf.861350cf915ea1c953b1b29c41d6a201.jpg,416,416,With Helmet,379,153,408,185
BikesHelmets706_png_jpg.rf.861350cf915ea1c953b1b29c41d6a201.jpg,416,416,With Helmet,74,203,157,252
BikesHelmets706_png_jpg.rf.861350cf915ea1c953b1b29c41d6a201.jpg,416,416,With Helmet,205,203,415,382

BikesHelmets648_png_jpg.rf.86ad1985633704eb59c40c469326ec42.jpg,416,416,Without Helmet,270,0,345,111
BikesHelmets648_png_jpg.rf.86ad1985633704eb59c40c469326ec42.jpg,416,416,With Helmet,27,153,91,197
BikesHelmets648_png_jpg.rf.86ad1985633704eb59c40c469326ec42.jpg,416,416,With Helmet,0,153,49,224
BikesHelmets648_png_jpg.rf.86ad1985633704eb59c40c469326ec42.jpg,416,416,With Helmet,270,252,300,298
BikesHelmets648_png_jpg.rf.86ad1985633704eb59c40c469326ec42.jpg,416,416,Without Helmet,346,231,373,269
BikesHelmets648_png_jpg.rf.86ad1985633704eb59c40c469326ec42.jpg,416,416,Without Helmet,400,203,415,238
BikesHelmets129_png_jpg.rf.8628b2dc3060fde22ef8da23c68f4597.jpg,416,416,Without Helmet,158,63,188,110
BikesHelmets129_png_jpg.rf.8628b2dc3060fde22ef8da23c68f4597.jpg,416,416,Without Helmet,288,79,324,117
BikesHelmets129_png_jpg.rf.8628b2dc3060fde22ef8da23c68f4597.jpg,416,416,Without Helmet,406,78,415,112
BikesHelmets129_png_jpg.rf.8628b2dc3060fde22ef8da23c68f4597.jpg,416,416,Without Helmet,382,89,408,121
BikesHelmets129_png_jpg.rf.8628b2dc3060fde22ef8da23c68f4597.jpg,416,416,With Helmet,265,265,328,352
BikesHelmets129_png_jpg.rf.8628b2dc3060fde22ef8da23c68f4597.jpg,416,416,With Helmet,207,241,252,274
BikesHelmets558_png_jpg.rf.8572b8127068ece6304c17ea70b57195.jpg,416,416,Without Helmet,206,0,240,78
BikesHelmets558_png_jpg.rf.8572b8127068ece6304c17ea70b57195.jpg,416,416,With Helmet,151,0,240,94
BikesHelmets558_png_jpg.rf.8572b8127068ece6304c17ea70b57195.jpg,416,416,With Helmet,207,203,240,319
BikesHelmets558_png_jpg.rf.8572b8127068ece6304c17ea70b57195.jpg,416,416,With Helmet,290,203,415,307
BikesHelmets423_png_jpg.rf.85b08d358caf93fe5175f214cfe160ce.jpg,416,416,With Helmet,35,174,107,195

BikesHelmets337_png_jpg.rf.85b747e05a17a909ab36077cad400406.jpg,416,416,With Helmet,140,0,211,53
